LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYL
-80.5522681,24.978511,14264,"""""","""""",""""""
-80.2762928,25.3154434,14265,"""""","""""",""""""
-80.4100478,25.5667896,14269,"""""","""""",""""""
-80.1670951,26.0280771,14278,"""""","""""",""""""
-80.4060176,25.5674175,14279,"""""","""""",""""""
-80.1994728,25.8411339,14281,"""""","""""",""""""
-80.1992313,25.8411378,14281,"""""","""""",""""""
-80.3173242,25.6771609,14283,"""""","""""",""""""
-80.0807528,26.634481,14284,"""""","""""",""""""
-80.6510787,27.1416711,14286,"""""","""""",""""""
-80.4629098,25.5147214,14287,"""""","""""",""""""
-80.3449913,25.585275,14290,"""""","""""",""""""
-80.2716773,25.833517,14296,"""""","""""",""""""
-80.2718046,25.837491,14296,"""""","""""",""""""
-80.2232403,25.8412074,14299,"""""","""""",""""""
-80.4427621,25.0972552,14302,"""""","""""",""""""
-80.293757,25.7063123,14305,"""""","""""",""""""
-80.3571967,25.5762949,14307,"""""","""""",""""""
-80.272654,25.7452759,14308,"""""","""""",""""""
-80.3077581,25.7063796,14309,"""""","""""",""""""
-80.2874748,25.2988628,14316,"""""","""""",""""""
-80.1650124,25.9234812,14322,"""""","""""",""""""
-80.2849282,25.8203122,14325,"""""","""""",""""""
-80.2838883,25.7561277,14328,"""""","""""",""""""
-80.268162,25.7045229,14330,"""""","""""",""""""
-80.2735873,25.698722,14335,"""""","""""",""""""
-80.2882508,25.2988773,14448,"""""","""""",""""""
-80.3112758,25.9080288,14452,"""""","""""",""""""
-80.308294,25.8949849,14460,"""""","""""",""""""
-80.2561778,25.6877498,14461,"""""","""""",""""""
-80.3079425,25.7269362,14464,"""""","""""",""""""
-80.2764096,25.3138335,14469,"""""","""""",""""""
-80.2844853,25.7560924,14473,"""""","""""",""""""
-80.2748995,25.861204,14475,"""""","""""",""""""
-80.3246917,25.6320271,14479,"""""","""""",""""""
-80.3926245,25.7179196,14489,"""""","""""",""""""
-80.1306667,25.7907028,14490,"""""","""""",""""""
-80.3886861,25.7907698,14491,"""""","""""",""""""
-80.1652472,25.9102222,14513,"""""","""""",""""""
-80.277983,25.3150428,14524,"""""","""""",""""""
-80.4357702,25.4751557,14533,"""""","""""",""""""
-80.2319925,25.7328133,14536,"""""","""""",""""""
-80.307562,25.6857308,14554,"""""","""""",""""""
-80.1918833,25.8184208,14563,"""""","""""",""""""
-80.1352222,25.9314642,14566,"""""","""""",""""""
-80.4259343,25.6732095,14570,"""""","""""",""""""
-80.2843307,25.6748519,14585,"""""","""""",""""""
-80.2844503,25.6790985,14585,"""""","""""",""""""
-80.2783178,25.7126157,14594,"""""","""""",""""""
-80.2765995,25.3165999,14603,"""""","""""",""""""
-80.4494302,25.4768162,14612,"""""","""""",""""""
-80.1423223,25.784252,14619,"""""","""""",""""""
-80.1674988,25.689311,14627,"""""","""""",""""""
-80.2048764,25.7547708,14628,"""""","""""",""""""
-80.2086548,25.7518056,14629,"""""","""""",""""""
-80.3032902,25.749474,14632,"""""","""""",""""""
-80.4921974,25.4331815,14633,"""""","""""",""""""
-80.142078,25.7912734,14650,"""""","""""",""""""
-80.2712364,25.3228418,14655,"""""","""""",""""""
-80.2964898,25.3116894,14666,"""""","""""",""""""
-80.292304,25.313529,15005,"""""","""""",""""""
-80.2887064,25.3161752,15010,"""""","""""",""""""
-80.2710386,25.3228942,15018,"""""","""""",""""""
-80.2664753,25.6878861,15022,"""""","""""",""""""
-80.1374639,26.77077,15024,"""""","""""",""""""
-80.2580169,25.8112226,15034,"""""","""""",""""""
-80.273542,25.7564358,15037,"""""","""""",""""""
-80.3173108,25.7269091,15046,"""""","""""",""""""
-80.2612977,25.753947,15047,"""""","""""",""""""
-80.4174378,25.7395635,15048,"""""","""""",""""""
-80.5036844,25.598823,15059,"""""","""""",""""""
-80.274592,25.3139231,15060,"""""","""""",""""""
-80.2539594,25.814842,15072,"""""","""""",""""""
-80.4740401,25.4460364,15085,"""""","""""",""""""
-80.3017415,25.7455772,15087,"""""","""""",""""""
-80.2584762,25.3305871,15089,"""""","""""",""""""
-80.2523703,25.718888,15092,"""""","""""",""""""
-80.1139711,26.113922,15093,"""""","""""",""""""
-80.2796428,25.6674287,15097,"""""","""""",""""""
-80.1641064,25.6910822,15111,"""""","""""",""""""
-80.2907528,25.31401,15117,"""""","""""",""""""
-80.2856303,25.6538643,15250,"""""","""""",""""""
-80.2604766,25.330425,15251,"""""","""""",""""""
-80.2751178,25.3204979,15254,"""""","""""",""""""
-80.2412868,25.8234901,15258,"""""","""""",""""""
-80.3812487,25.7048665,15262,"""""","""""",""""""
-80.3247486,25.8347121,15268,"""""","""""",""""""
-80.2702213,25.3207594,15271,"""""","""""",""""""
-80.3267008,25.6558115,15275,"""""","""""",""""""
-80.2094704,25.8410314,15277,"""""","""""",""""""
-80.1406006,25.8509763,15281,"""""","""""",""""""
-80.2982386,25.7629369,15285,"""""","""""",""""""
-80.3231644,25.8347601,15293,"""""","""""",""""""
-80.3940275,25.6012234,15294,"""""","""""",""""""
-80.1206303,25.9429192,15296,"""""","""""",""""""
-80.1955469,25.7874634,15297,"""""","""""",""""""
-80.3804886,25.7041119,15298,"""""","""""",""""""
-80.4327224,25.479981,15305,"""""","""""",""""""
-80.2553101,25.7642584,15306,"""""","""""",""""""
-80.3524884,25.5877712,15307,"""""","""""",""""""
-80.2686414,25.7007062,15309,"""""","""""",""""""
-80.2938581,25.7054694,15311,"""""","""""",""""""
-80.2070472,25.7675405,15314,"""""","""""",""""""
-80.2850511,25.826718,15316,"""""","""""",""""""
-80.2857432,25.3194953,15318,"""""","""""",""""""
-80.3756918,25.6453005,15319,"""""","""""",""""""
-80.3185762,25.884346,15323,"""""","""""",""""""
-80.2906224,25.7040611,15324,"""""","""""",""""""
-80.2778263,25.3146697,15327,"""""","""""",""""""
-80.281497,25.6882787,15328,"""""","""""",""""""
-80.1335665,25.8247276,15333,"""""","""""",""""""
-80.2494325,25.8102609,15335,"""""","""""",""""""
-80.3190687,25.8112717,15336,"""""","""""",""""""
-80.2765287,25.7471128,15337,"""""","""""",""""""
